date,total_clones,unique_clones
2022-08-25,9,4
2022-08-26,4,3
2022-08-27,11,6
2022-08-28,4,3
2022-08-29,5,4
2022-08-30,4,3
2022-08-31,2,2
2022-09-01,6,5
2022-09-02,2,2
2022-09-03,2,2
2022-09-04,4,4
2022-09-05,3,3
2022-09-06,2,2
2022-09-07,1,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,2,2
2022-09-11,3,3
2022-09-12,2,2
2022-09-13,2,2
2022-09-14,2,2
2022-09-15,3,3
2022-09-16,4,3
2022-09-17,2,2
2022-09-18,3,3
2022-09-19,1,1
2022-09-20,3,3
2022-09-21,3,3
2022-09-22,3,2
2022-09-23,2,2
2022-09-24,3,2
2022-09-25,3,3
2022-09-26,1,1
2022-09-27,2,2
2022-09-28,0,0
